valuation_type,elasticity_case,who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
VSLY,e1_2_primary,South-East Asia,bp_no_diabetes_only,4232768656.69581,0.000183571156283374,22762591941.7542,0.000898514748933602,30286393668.8189,0.00105481393827823,37717606676.4894,0.00126277029049317,673124263368.79,0.000976572166445161
VSLY,e1_2_primary,Western Pacific,bp_no_diabetes_only,19145372851.7488,0.000413171735285272,114146060849.751,0.00243436183628541,137864439143.667,0.00314454990913313,157992347479.167,0.00413901233246687,3127722317228.16,0.00285095610283121
VSLY,e1_2_primary,World,bp_no_diabetes_only,72715436459.9238,0.000427960134394248,386236118384.238,0.00226801920545347,432776967202.979,0.00263718229828927,446848370990.807,0.00293246054034506,9738475617590.29,0.00237285654019846
VSLY,e1_2_primary,Africa,statins_only,1598286705.19012,0.000227454819893776,8261310831.30612,0.00112634534836834,9179554394.32521,0.00105931095802688,11397658490.0949,0.00112480507208664,211777725206.745,0.00100304908514676
VSLY,e1_2_primary,Americas,statins_only,15822493282.636,0.00038765901582622,75904050331.7313,0.00192855373807971,70298987582.0255,0.00198556949329523,69031393145.6336,0.00220141033438227,1642719844428.59,0.00181673747121555
VSLY,e1_2_primary,Eastern Mediterranean,statins_only,6443810430.95944,0.000598255829195063,35095794256.9726,0.00312079508579598,43121287565.5864,0.0035190843752283,49450368864.8105,0.00381843793837273,964695971667.728,0.00321885710987741
VSLY,e1_2_primary,Europe,statins_only,46254427437.0539,0.00110384779662529,216890872577.856,0.00540401253425994,172873149318.962,0.0049074272785614,148611181335.188,0.00497055038602439,4149789341231.67,0.00459701240522378
VSLY,e1_2_primary,South-East Asia,statins_only,13424205204.3592,0.000582195029168731,71169380001.5846,0.00280929068919362,76393309820.1131,0.00266062473038589,90791671712.6478,0.00303966862601611,1768488036457.4,0.00256573159976753
VSLY,e1_2_primary,Western Pacific,statins_only,33613468171.9795,0.000725404257264409,210701913750.42,0.00449358211617551,233509505846.448,0.00532611817777015,264270029007.753,0.00692322714749646,5400944511472.97,0.00492302517752997
VSLY,e1_2_primary,World,statins_only,117156691232.178,0.000689515125891345,618023321749.871,0.00362909809939738,605375794527.461,0.00368893552597924,633552302556.128,0.00415771265624423,14138415430465.1,0.00344493664507662
VSLY,e1_5_sensitivity,Africa,all_interventions,1795335057.64002,0.00025549709627092,9815660297.7737,0.00133826502153451,13593258948.7518,0.00156864783857172,18474669044.2398,0.00182321671281361,305352852177.603,0.00144625171851617
VSLY,e1_5_sensitivity,Americas,all_interventions,61876827837.4915,0.00151601329534167,307369993440.894,0.0078095904926455,315936536509.921,0.00892351327221462,299344090677.078,0.00954607961282998,7142659968557.11,0.00789930069514849
VSLY,e1_5_sensitivity,Eastern Mediterranean,all_interventions,8541020029.0474,0.000792964826385898,51213292413.766,0.00455399841137832,78363691557.5839,0.00639518108372961,97559448285.9597,0.00753330474844878,1704378741653.11,0.00568692291832604
VSLY,e1_5_sensitivity,Europe,all_interventions,81553936065.7187,0.00194625979869219,415429657130.708,0.0103507678656776,429446971836.802,0.0121909029400458,399036262225.383,0.0133464375252394,9681216483062.95,0.0107245618056092
VSLY,e1_5_sensitivity,South-East Asia,all_interventions,13409153872.2205,0.000581542267189893,76352503014.5725,0.00301388568806825,103300833546.12,0.00359775945104975,136592186053.455,0.00457305141180481,2323036566058.49,0.00337027347772806
VSLY,e1_5_sensitivity,Western Pacific,all_interventions,51852197039.0674,0.00111900992448044,324777593887.214,0.00692644296223524,409031501271.508,0.00932959926537365,488958641967.095,0.0128095181916005,9281490717130.44,0.00846018921105009
VSLY,e1_5_sensitivity,World,all_interventions,219028469901.185,0.0012890722792641,1184958700184.93,0.0069582024097886,1349672793670.69,0.00822440533967137,1439965298253.21,0.00944983061531764,30438135328639.7,0.00741649220290189
VSLY,e1_5_sensitivity,Africa,bp_combined,909196191.139038,0.000129389211104673,5296070811.67931,0.000722065159533676,8749064919.53179,0.00100963292373735,12479844350.3344,0.00123160316097443,192779910176.264,0.000913069173579061
VSLY,e1_5_sensitivity,Americas,bp_combined,48048042009.5509,0.00117720111142283,243639742373.371,0.00619034602034294,257388295106.043,0.00726983935718161,242141879068.027,0.00772190174175581,5767634851037.92,0.00637861555621136
VSLY,e1_5_sensitivity,Eastern Mediterranean,bp_combined,3796655588.68811,0.000352488851389206,24543495892.3384,0.0021824615453416,42991947114.853,0.0035085290327291,56574502743.4391,0.00436854633401626,925851998533.96,0.0030892481939395
VSLY,e1_5_sensitivity,Europe,bp_combined,43321654699.8945,0.00103385807016458,238899365599.108,0.00595237204212407,284223835398.412,0.00806838892301313,271444108810.108,0.00907890380594572,6212195916474.95,0.00688168466962227
VSLY,e1_5_sensitivity,South-East Asia,bp_combined,5847431031.34552,0.000253597529837436,35073917829.9466,0.00138448347858331,55472214076.4357,0.00193198520876454,76023007880.1471,0.00254521970517332,1221020976966.56,0.00177146355530779
VSLY,e1_5_sensitivity,Western Pacific,bp_combined,27929572586.3926,0.000602741459289037,174893711588.951,0.00372991037736172,235479333209.322,0.0053710479688998,285423360538.381,0.00747739259585512,5279005391820.58,0.00481187621925066
VSLY,e1_5_sensitivity,World,bp_combined,129852552107.011,0.000764235468514036,722346304095.394,0.00424169364980741,884304689824.597,0.00538862474445373,944086703390.437,0.00619560724417155,19598489045010.2,0.00477532672818537
VSLY,e1_5_sensitivity,Africa,bp_diabetes_only,559014423.215808,7.95542655380156e-05,3428882759.60352,0.000467493140645965,5833112997.03577,0.000673135127451166,8388106749.75369,0.000827800291220039,128097708630.095,0.000606712954940744
VSLY,e1_5_sensitivity,Americas,bp_diabetes_only,23468655590.1848,0.000574993824698904,125001956511.367,0.00317602274771489,143315033785.454,0.00404788132521744,137274959687.255,0.00437769688741314,3153104429976.55,0.00348712106207417
VSLY,e1_5_sensitivity,Eastern Mediterranean,bp_diabetes_only,2205100107.68497,0.000204725760870152,14812633854.166,0.00131717192667872,28282760882.5049,0.00230812732014459,39498683898.0807,0.00304999288325938,610551704401.792,0.00203720006341893
VSLY,e1_5_sensitivity,Europe,bp_diabetes_only,25105289030.9271,0.00059913006204958,143858473556.95,0.00358435089970047,176887501454.407,0.0050213844850613,170233781352.903,0.0056937545345904,3840172324688.46,0.00425402794291008
VSLY,e1_5_sensitivity,South-East Asia,bp_diabetes_only,3463099591.75541,0.000150191339982016,21685286115.4199,0.000855989926780202,36332139998.6421,0.00126537507559044,50541064973.327,0.00169209451293166,795253905498.702,0.00115375848358232
