location,iso3,year,pop_40plus_2025,diabetes_prev_2025,diabetes_pop_40plus_2025,statins_baseline_2025,statins_target_2030,prim_prev_ihd_2025,prim_prev_istroke_2025,prim_prev_total_2025,sec_prev_ihd_2025,sec_prev_istroke_2025,sec_prev_total_2025,total_eligible_2025
Netherlands,NLD,2025,9955411,0.06714228,668428.99287708,0.184471565208901,0.8,,,,,,,
New Caledonia,,2025,132603,,,,0.8,,,,,,,
New Zealand,NZL,2025,2606848,0.0558334283333333,145549.260983893,0.16447903198811,0.8,,,,,,,
Nicaragua,NIC,2025,2129629.5,0.0577994,123091.3073223,0.0271592755892643,0.8,,,,,,,
Niger,NER,2025,4569165.5,0.05301582,242238.05569821,0.000983644428780422,0.8,,,,,,,
Nigeria,NGA,2025,47757218.5,0.05004038,2389789.36148303,0.0113888062965852,0.8,,,,,,,
North Macedonia,,2025,982711.5,0.0558334283333333,54868.1521075925,0.0688148831961557,0.8,,,,,,,
Northern Mariana Islands,,2025,21754.5,,,,0.8,,,,,,,
Norway,NOR,2025,2950939,0.04896454,144491.37070306,0.25036665634567,0.8,,,,,,,
Oman,OMN,2025,1590874,0.05899901,93859.99103474,0.0816022611171841,0.8,,,,,,,
Pakistan,PAK,2025,60369670,0.0636427,3842088.796909,0.0118566183303464,0.8,,,,,,,
Palestine,,2025,1233035.5,0.05392319,66489.207543245,0.0181601513775554,0.8,,,,,,,
Panama,PAN,2025,1773898,0.05151683,91385.60170334,0.104945733705363,0.8,,,,,,,
Papua New Guinea,PNG,2025,2802216,0.0558334283333333,156457.32621052,0.00489021197487453,0.8,,,,,,,
Paraguay,PRY,2025,2245321.5,0.04613428,103586.29077102,0.026697524792208,0.8,,,,,,,
Peru,PER,2025,13082734.5,0.03697475,483730.837453875,0.0410760169353192,0.8,,,,,,,
Philippines,PHL,2025,36130780,0.07080429,2558214.2250462,0.020935396819459,0.8,,,,,,,
Poland,POL,2025,21976786,0.03127065,687228.3831309,0.171478243754457,0.8,,,,,,,
Portugal,PRT,2025,6437235,0.06966486,448449.0750621,0.200388233155909,0.8,,,,,,,
