scenario_id,location,sex,subgroup,baseline_year,scaleup_start_year,target_year,population_2025,htn_population_2025,diabetes_share_among_htn_assumed,baseline_control,target_control,annual_control_increment,controlled_2025,controlled_2030,additional_controlled_2030,allocation_method,control_gap_requested,control_gap_used
baseline,United States,Female,htn_diabetes,2025,2026,2030,135029185,18180635.9623282,0.389171959372562,0.601643470928305,0.601643470928305,0,10938260.9240591,10938260.9240591,0,inactive_at_baseline,0.15,0.15
baseline,United States,Male,htn_diabetes,2025,2026,2030,134681241,16558100.8039897,0.340960055004095,0.547308830637753,0.547308830637753,0,9062394.78861365,9062394.78861365,0,inactive_at_baseline,0.15,0.15
baseline,Uruguay,Female,htn_diabetes,2025,2026,2030,1356764.5,220273.693142473,0.377821852930059,0.427046412801424,0.427046412801424,0,94067.0904910146,94067.0904910146,0,inactive_at_baseline,0.15,0.15
baseline,Uruguay,Male,htn_diabetes,2025,2026,2030,1236352,160897.756900661,0.287580322374324,0.356196161420817,0.356196161420817,0,57311.1633892352,57311.1633892352,0,inactive_at_baseline,0.15,0.15
baseline,Uzbekistan,Female,htn_diabetes,2025,2026,2030,11620159,1550118.60348208,0.338181920783296,0.316498240788364,0.316498240788364,0,490609.811015392,490609.811015392,0,inactive_at_baseline,0.15,0.15
baseline,Uzbekistan,Male,htn_diabetes,2025,2026,2030,11464160.5,1309961.09551466,0.277202851087944,0.221356166151249,0.221356166151249,0,289967.965910416,289967.965910416,0,inactive_at_baseline,0.15,0.15
baseline,Vanuatu,Female,htn_diabetes,2025,2026,2030,91194,12371.0417067154,0.406000634618235,0.150532439955398,0.150532439955398,0,1862.24309290186,1862.24309290186,0,inactive_at_baseline,0.15,0.15
baseline,Vanuatu,Male,htn_diabetes,2025,2026,2030,89621,10087.5228531896,0.354766864802506,0.101513799476357,0.101513799476357,0,1024.02277213187,1024.02277213187,0,inactive_at_baseline,0.15,0.101513799476357
baseline,Venezuela (Bolivarian Republic of),Female,htn_diabetes,2025,2026,2030,9902077,1291418.07806309,0.34131774738841,0.494783111795857,0.494783111795857,0,638971.855293482,638971.855293482,0,inactive_at_baseline,0.15,0.15
baseline,Venezuela (Bolivarian Republic of),Male,htn_diabetes,2025,2026,2030,9309412.5,1037015.69836948,0.300106972892915,0.358383766520007,0.358383766520007,0,371649.591922028,371649.591922028,0,inactive_at_baseline,0.15,0.15
baseline,Viet Nam,Female,htn_diabetes,2025,2026,2030,37636568.5,3515934.32387011,0.363420553771913,0.245308553756167,0.245308553756167,0,862488.764090243,862488.764090243,0,inactive_at_baseline,0.15,0.15
baseline,Viet Nam,Male,htn_diabetes,2025,2026,2030,34682757,2959431.7466138,0.285044431161526,0.214462347736671,0.214462347736671,0,634686.680345233,634686.680345233,0,inactive_at_baseline,0.15,0.15
baseline,Yemen,Female,htn_diabetes,2025,2026,2030,10560059.5,564560.138934096,0.253409211824213,0.309956645296974,0.309956645296974,0,174989.166732406,174989.166732406,0,inactive_at_baseline,0.15,0.15
baseline,Yemen,Male,htn_diabetes,2025,2026,2030,10618497.5,405611.170635073,0.189009337915826,0.252953768824495,0.252953768824495,0,102600.874289457,102600.874289457,0,inactive_at_baseline,0.15,0.15
baseline,Zambia,Female,htn_diabetes,2025,2026,2030,5568342,305966.440679616,0.243249901627704,0.232765396494384,0.232765396494384,0,71218.3998787665,71218.3998787665,0,inactive_at_baseline,0.15,0.15
baseline,Zambia,Male,htn_diabetes,2025,2026,2030,5357895.5,221289.934715523,0.177489719818625,0.189448942053271,0.189448942053271,0,41923.1440188932,41923.1440188932,0,inactive_at_baseline,0.15,0.15
baseline,Zimbabwe,Female,htn_diabetes,2025,2026,2030,4675795.5,495752.676359461,0.286156172286157,0.296563404427426,0.296563404427426,0,147022.10145517,147022.10145517,0,inactive_at_baseline,0.15,0.15
baseline,Zimbabwe,Male,htn_diabetes,2025,2026,2030,3849027,260271.475511665,0.236198772602801,0.238414033167737,0.238414033167737,0,62052.3721952539,62052.3721952539,0,inactive_at_baseline,0.15,0.15
bp_no_diabetes_only,Afghanistan,Female,htn_no_diabetes,2025,2026,2030,10656400,2758312.57905498,0.288116944917646,0.130085711511268,0.184129045570423,0.010808666811831,358817.054416848,507885.462566285,149068.408149437,joint_shared_proportional_scale_cap_1.0,0.15,0.15
bp_no_diabetes_only,Afghanistan,Male,htn_no_diabetes,2025,2026,2030,10584668.5,2239824.0290957,0.206915093397397,0.067564526875106,0.0956338071522393,0.00561385605542666,151332.650809345,214202.89925349,62870.2484441453,joint_shared_proportional_scale_cap_1.0,0.15,0.15
bp_no_diabetes_only,Albania,Female,htn_no_diabetes,2025,2026,2030,1119803,344300.42541648,0.296321263909921,0.0709776577476778,0.100464902917274,0.00589744903391921,24437.6377575908,34590.1088138428,10152.471056252,joint_shared_proportional_scale_cap_1.0,0.15,0.15
bp_no_diabetes_only,Albania,Male,htn_no_diabetes,2025,2026,2030,1063013.5,347988.140399332,0.23311824821873,0.0182072758909353,0.0257713802176105,0.00151282086533505,6335.91607902415,8968.1346774504,2632.21859842625,joint_shared_proportional_scale_cap_1.0,0.15,0.15
bp_no_diabetes_only,Algeria,Female,htn_no_diabetes,2025,2026,2030,14751664,2996350.05922519,0.378580542968894,0.147025627784635,0.208106549165718,0.0122161842762165,440540.248520112,623560.070917848,183019.822397736,joint_shared_proportional_scale_cap_1.0,0.15,0.15
bp_no_diabetes_only,Algeria,Male,htn_no_diabetes,2025,2026,2030,15328527.5,3434984.22066707,0.27594218781711,0.0695735713839626,0.0984774972364667,0.00578078517050083,238984.119879365,338268.649098048,99284.5292186827,joint_shared_proportional_scale_cap_1.0,0.15,0.15
bp_no_diabetes_only,Andorra,Female,htn_no_diabetes,2025,2026,2030,34136.5,7496.5846599565,0.298406149800026,0.329783553948763,0.46679016725175,0.0274013226605975,2472.25033163824,3499.332007238,1027.08167559977,joint_shared_proportional_scale_cap_1.0,0.15,0.15
bp_no_diabetes_only,Andorra,Male,htn_no_diabetes,2025,2026,2030,35615.5,10238.8552138139,0.261162859582898,0.259103133669997,0.366745987339507,0.0215285707339019,2652.91947109258,3755.05906461645,1102.13959352387,joint_shared_proportional_scale_cap_1.0,0.15,0.15
